id,title,score,game_type,pulisher,download,isAndroid
206369,人格解体,8.8,角色扮演,厂商: 喵法自然工作室,71069,TRUE
159465,一念逍遥,6.5,角色扮演,厂商: 雷霆游戏,1021860,TRUE
70253,明日方舟,8.2,策略,厂商: 鹰角网络,12263134,TRUE
200184,2048清,9.9,益智,厂商: 召合网络,460311,TRUE
213,炉石传说,7,策略,"厂商: Blizzard Entertainment, Inc.",10787305,TRUE
148290,另一个伊甸 : 超越时空的猫,9,角色扮演,厂商: 心动,1288154,FALSE
183321,偶像梦幻祭2,8.2,音乐,厂商: 乐元素科技(北京)股份有限公司,370371,FALSE
162251,见,9.8,角色扮演,厂商: 腾讯游戏追梦计划,717483,TRUE
179754,无尽噩梦,8.7,角色扮演,厂商: 云步互娱,362574,TRUE
79661,机动都市阿尔法,5.8,动作,厂商: 网易游戏,499005,FALSE
130630,天涯明月刀,6.3,角色扮演,厂商: 腾讯,1088640,FALSE
195701,叫我大掌柜,4.1,模拟,厂商: 鲁班工作室,19872,FALSE
62448,光·遇,6.1,角色扮演,厂商: 网易游戏,10115334,TRUE
212172,我的小岛,4.9,休闲,厂商: 飞鸟与鱼,112,TRUE
59520,明日之后,4.1,角色扮演,厂商: 网易游戏,9794106,FALSE
14461,道友请留步,6.4,卡牌,厂商: 极致游戏,903062,TRUE
6764,聚爆,8.4,角色扮演,厂商: 龙渊网络,2594345,FALSE
83595,阿瑞斯病毒,8.1,角色扮演,厂商: 青瓷,3088045,FALSE
171665,魔物调查者,8.2,角色扮演,厂商: 株式会社Moka  Games,16474,FALSE
70253,明日方舟,8.2,策略,厂商: 鹰角网络,12263217,FALSE
214602,生存闯关（测试服）,6.5,益智,厂商: wbgame,3651,TRUE
60387,星季,9.1,休闲,厂商: 星予网络,1900785,TRUE
37121,活下去,9,冒险,厂商: 黑骑士工作室,2884312,TRUE
143332,赤核,9.2,街机,厂商: 海彼游戏,1000786,TRUE
58019,我欲封天山海战,8.7,卡牌,厂商: 畅来互娱,13536,TRUE
153415,音乐世界 Cytus II,9.6,音乐,厂商: 龙渊网络,542201,FALSE
43639,我的世界,6.2,休闲,厂商: 网易游戏,19469086,TRUE
130651,战双帕弥什,7.1,角色扮演,厂商: 库洛游戏,4897524,TRUE
210019,乌冬的旅店,7.3,模拟,厂商: 两英里科技,26846,TRUE
154382,脑力达人,9.1,益智,厂商: 云步互娱,33564,TRUE
135341,仗剑天涯,6.2,文字,厂商: 北京掌握互娱科技有限公司,360912,TRUE
214068,地下城与骑士,6.8,休闲,厂商: TouchJoy,277,TRUE
140825,枪手：丧尸幸存者,8.3,街机,厂商: Parthenon Games,404157,TRUE
137100,四叶草剧场,7.7,休闲,厂商: 幻萌网络,652116,FALSE
2301,王者荣耀,4.7,动作,厂商: 腾讯,23379176,FALSE
215033,终末阵线：伊诺贝塔（测试服预下载）,8.8,角色扮演,厂商: 哔哩哔哩游戏,937,TRUE
198967,不一样传说,7.3,冒险,厂商: 芥菜子游戏,129986,FALSE
49995,第五人格,7.3,角色扮演,厂商: 网易游戏,8005095,TRUE
134346,古代战争,9.1,角色扮演,厂商: 猫步游戏,2171609,TRUE
191003,下一秒细思恐极,6.8,休闲,厂商: 橘音游戏,121095,TRUE
190489,经典魔塔50层,9.2,策略,厂商: 神圣剑工作室,58922,FALSE
197397,少女战地,8.1,动作,厂商: 少女战争工作室,14161,FALSE
162127,妙奇星球,8.5,休闲,厂商: 套鹿工作室,417704,FALSE
41178,魔卡幻想,8,卡牌,厂商: 上海慕和网络科技有限公司,294655,FALSE
60809,Muse Dash 喵斯快跑,9.5,音乐,厂商: 心动,2032886,TRUE
18356,纪念碑谷,9.9,益智,厂商: 深圳市创梦天地科技有限公司,2750393,TRUE
211574,幻想之登极为皇,6.6,模拟,厂商: 泊明工作室,298,TRUE
10497,部落冲突 (Clash of Clans),9.1,策略,厂商: Supercell,3022787,TRUE
22497,无尽大冒险,7.1,策略,厂商: 青瓷,917639,FALSE
207444,只兔：不灭的勇者,8,动作,厂商: 提拉米苏猫工作室,35191,TRUE
191003,下一秒细思恐极,6.8,休闲,厂商: 橘音游戏,121095,FALSE
58885,月圆之夜,9.4,冒险,厂商: 滴答工作室,8274740,TRUE
11981,放置江湖,7.5,角色扮演,厂商: 小猴跳跳,2180803,TRUE
189512,三国冲冲冲,8.8,休闲,厂商: TinyStar,6865,FALSE
214418,挂机工厂,8.4,模拟,厂商: weathering,1813,TRUE
213413,我的属性-人类属性测试器,8.3,文字,厂商: 搁浅工作室,4656,FALSE
165287,Phigros,9.6,音乐,厂商: Pigeon Games | 鸽游,1134484,FALSE
34751,元气骑士,9.5,动作,厂商: 凉屋游戏,19459713,TRUE
7157,机动战队大作战,7.2,卡牌,厂商: 游戏公国,2647780,TRUE
179754,无尽噩梦,8.7,角色扮演,厂商: 云步互娱,362574,FALSE
130651,战双帕弥什,7.1,角色扮演,厂商: 库洛游戏,4897535,FALSE
187630,云端问仙,4.9,文字,厂商: 云端工作室,90025,FALSE
70767,探灵,8.8,文字,厂商: 吉游社,2372647,TRUE
191543,艾人的世界（测试服）,8.2,角色扮演,厂商: 刀叔,106481,TRUE
160459,无尽灵魂,8.9,角色扮演,厂商: 只做一款游戏工作室,1179466,TRUE
34768,战舰联盟,8.8,动作,厂商: 祖龙娱乐,3101962,FALSE
159727,模拟帝国,6.8,策略,厂商: TKG,223698,TRUE
195514,航海王热血航线,6.8,动作,厂商: 朝夕光年,741768,TRUE
11981,放置江湖,7.5,角色扮演,厂商: 小猴跳跳,2180806,FALSE
187303,逐光：启航,9.4,冒险,厂商: Ohayoo,546732,TRUE
214492,杀戮地城,8,冒险,厂商: 娱乐至上,2608,TRUE
15887,黑暗料理王,9.3,模拟,厂商: 椰岛游戏,2289249,TRUE
190461,喵喵岛（测试服）,6.8,休闲,厂商: ZGame,7783,TRUE
6369,不思议迷宫,8.4,策略,厂商: 雷霆游戏,2365381,FALSE
212645,不休的修仙者,5.8,休闲,厂商: 游手好闲工作室,53,TRUE
58885,月圆之夜,9.4,冒险,厂商: 滴答工作室,8274750,FALSE
211074,机甲爱丽丝,7.4,角色扮演,厂商: 哔哩哔哩游戏,38968,FALSE
196186,月夜逃跑计划,9.5,休闲,厂商: 识君,16008,TRUE
183618,跑跑停停,6.1,休闲,厂商: 具勇虎,10484,TRUE
91106,末日幸存者（测试服）,6.3,角色扮演,厂商: 幸存者互助协会,41152,FALSE
6908,同步音律,9.3,音乐,厂商: 廊坊同步音律信息科技有限公司,3276056,TRUE
184839,进击的悟空,9.7,休闲,厂商: 4IN1,203,FALSE
214588,最强门派,4,模拟,厂商: Modooplay魔度互娱,648,TRUE
15386,魔窟-无尽的地下城,8.1,角色扮演,厂商: 杭州凌烟阁科技有限公司,656053,FALSE
188743,三国志幻想大陆,6,卡牌,厂商: 广州灵犀互动娱乐有限公司,733028,TRUE
61620,决战！平安京,6.4,动作,厂商: 网易游戏,7721467,FALSE
205100,看见飘扬的斗篷了吗,9.5,冒险,厂商: 极客游戏,33860,TRUE
158690,阴阳师：百闻牌,6.5,卡牌,厂商: 网易游戏,1657462,FALSE
172652,我的侠客,6.8,角色扮演,厂商: 极光计划,668804,FALSE
203129,人工桌面,8.4,桌面和棋类,厂商: miHoYo,1451642,TRUE
200363,时间大冒险,8.6,角色扮演,厂商: Shikudo,14637,FALSE
12492,阴阳师,7.1,角色扮演,厂商: 网易游戏,7740886,TRUE
10505,少女前线,8.5,策略,厂商: 上海散爆网络科技有限公司,2738894,FALSE
138417,皇帝成长计划2,7.7,策略,厂商: 四三九九网络股份有限公司,1837247,TRUE
213413,我的属性-人类属性测试器,8.3,文字,厂商: 搁浅工作室,4654,TRUE
213340,今晚早点睡,7.6,休闲,厂商: 河马游戏,366,TRUE
61620,决战！平安京,6.4,动作,厂商: 网易游戏,7721464,TRUE
12492,阴阳师,7.1,角色扮演,厂商: 网易游戏,7740896,FALSE
159287,奇门之上,7,角色扮演,厂商: 极光计划,132264,TRUE
141656,单词城堡,9.4,教育,厂商: yougan233团队,473054,TRUE
203666,纸嫁衣,9.3,益智,厂商: HeartBeat Plus,80579,FALSE
207856,打魔王刷装备,9.1,休闲,厂商: 浮梦游戏,1739,TRUE
211803,遇见你的猫,7.4,休闲,厂商: 大坏鼠工作室,170489,FALSE
201038,怪物女孩换装,7.8,角色扮演,"厂商: Qingzhou Co., Ltd",68326,TRUE
73133,还有这种操作2,9,知识问答,厂商: 青豆工作室,4565080,TRUE
213789,魔城骑士,9.3,角色扮演,厂商: 豆米游戏,3943,TRUE
159465,一念逍遥,6.5,角色扮演,厂商: 雷霆游戏,1021874,FALSE
79661,机动都市阿尔法,5.8,动作,厂商: 网易游戏,498994,TRUE
172508,一起活下去,5.2,冒险,厂商: 安迪游戏,1695,TRUE
204412,像素时代,7.7,模拟,厂商: 纵艺科技,366411,FALSE
210019,乌冬的旅店,7.3,模拟,厂商: 两英里科技,26847,FALSE
195514,航海王热血航线,6.8,动作,厂商: 朝夕光年,741802,FALSE
209303,Sodo Cool,9.5,益智,厂商: 召合网络,8720,TRUE
199670,某某宗女修修炼手札,9.6,休闲,厂商: HydrozoaWorks,51776,FALSE
136983,胡桃日记：表情包少女menhera,7.5,休闲,厂商: 腾讯,348946,FALSE
14132,万象物语,8.5,角色扮演,厂商: 龙渊网络,2578392,FALSE
13471,血族,8.1,角色扮演,厂商: 盛趣游戏,506175,FALSE
52276,纪念碑谷2,9,冒险,厂商: 极光计划,3061908,TRUE
182469,老农种树,9.3,休闲,厂商: Gamera Game,677344,TRUE
155976,怪蛋迷宫,8,休闲,厂商: 凉屋游戏,361891,FALSE
214067,三国志小兵传奇,7.1,卡牌,厂商: 潘凤游戏工作室,129,TRUE
4726,天天打波利,8.3,休闲,厂商: 心动,1067478,FALSE
213455,循环圈,8.6,策略,厂商: 非对称,1430,TRUE
208006,斗罗大陆-斗神再临,5,角色扮演,厂商: 史莱克学院建筑团队,85125,TRUE
149161,坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,5.4,角色扮演,厂商: 哔哩哔哩游戏,515258,TRUE
214693,康威生命游戏,9.1,模拟,厂商: 新古拳,953,TRUE
213890,斗罗大陆：魂师对决（测试服）,6.3,角色扮演,厂商: 37手游,20047,TRUE
201403,小小法师,8.5,休闲,厂商: Ohayoo,147299,TRUE
60892,大航海探险物语,8,模拟,厂商: 识君,720565,FALSE
84047,密室逃脱绝境系列9无人医院,8.9,益智,厂商: 深圳市火星人互动娱乐有限公司,466177,FALSE
161190,小小勇者,6.5,冒险,厂商: 上海零越网络科技有限公司,231618,TRUE
41908,克鲁赛德战记,8.8,角色扮演,厂商: 大连红豆互娱技术开发有限公司,758712,FALSE
214356,荒岛方舟生存模拟,4.9,冒险,厂商: 北京古鲁营销,247,TRUE
65333,汉末霸业,8.5,策略,厂商: 成都龙游天下,582887,FALSE
205151,行走大师,6.8,休闲,厂商: 北京唯我乐园信息技术有限公司,14863,TRUE
183434,我的健身教练2,9.2,体育,厂商: 训火游戏,173284,TRUE
213847,遨游中国模拟器,4,模拟,厂商: 艾棋网络,1197,TRUE
196453,十三号病院,8.3,益智,厂商: HeartBeat Plus,162105,FALSE
2247,火影忍者,6.9,动作,厂商: 腾讯,4402674,TRUE
155937,厕锁,9,文字,厂商: L.O.N.E,217563,TRUE
168332,原神,5.6,角色扮演,厂商: miHoYo,12566855,TRUE
37681,超数据世界,9.2,角色扮演,厂商: ST,699961,TRUE
168225,时间花园,9,模拟,厂商: Shikudo,81656,TRUE
18356,纪念碑谷,9.9,益智,厂商: 深圳市创梦天地科技有限公司,2750398,FALSE
214467,无梦少女（测试服）,8.5,街机,厂商: REZEROR,3219,TRUE
74704,古今江湖,8.2,卡牌,厂商: 3K独游屋,2187486,FALSE
160455,魔渊之刃,5.6,动作,厂商: 雷霆游戏,835095,FALSE
209299,机甲风暴2,9.3,角色扮演,厂商: 逸颗梧桐,4323,TRUE
205374,英雄远征,9.2,角色扮演,厂商: Naughty cat,24320,FALSE
214422,尸潮-巨兽挑战,7.1,动作,厂商: SixAlloy,6288,TRUE
203224,跳绳王,9.2,休闲,厂商: DoveGameStudio,600,TRUE
213319,DOTS,5.5,策略,厂商: PixelStorm Studio,2371,TRUE
130630,天涯明月刀,6.3,角色扮演,厂商: 腾讯,1088639,TRUE
159287,奇门之上,7,角色扮演,厂商: 极光计划,132279,FALSE
186039,无极仙途,8.7,角色扮演,厂商: 风之力游戏,860668,FALSE
